birthday,gender,age,height,name,nation,sport,gold,silver,bronze,code,noc,org,dis,img_id
2004-04-16,Male,19,1.7,ABDULLA HANEEF Ali Jaasim,Maldives,3x3 Basketball,0,0,0,2021403,MDV,0024,BK3,2021403
2002-01-21,Male,21,1.67,ABDULLA Ibrahim,United Arab Emirates,Shooting,0,0,0,2005081,UAE,0043,SHO,2005081
1999-11-30,Male,23,1.99,ABDULLA Mohamed Jasim Abdulla,Bahrain,Volleyball,0,0,0,2004154,BRN,0002,VVO,2004154
1994-07-08,Male,29,1.87,ABDULLA Mohamed Yaqoob,Bahrain,Volleyball,0,0,0,2004146,BRN,0002,VVO,2004146
1987-04-13,Male,36,1.8,ABDULLAEV Jasurbek,Uzbekistan,Handball,0,0,0,2012725,UZB,0044,HBL,2012725
2022-04-27,Male,1,1.82,ABDULLAEV Mukhammad,Kyrgyzstan,Wrestling,0,0,0,2009960,KGZ,0019,WRE,2009960
2002-10-18,Male,20,1.69,ABDULLAEV Ruslan,Uzbekistan,Boxing,0,0,0,2012843,UZB,0044,BOX,2012843
2004-05-13,Female,19,1.56,ABDULLAEVA Nigora,Uzbekistan,Weightlifting,0,0,0,2011887,UZB,0044,WLF,2011887
2001-08-19,Female,22,1.6,ABDULLAEVA Shakhlokhon,Uzbekistan,Weightlifting,0,0,0,2030593,UZB,0044,WLF,2030593
2002-11-05,Male,20,1.76,ABDULLAH Muhammad,Pakistan,Hockey,0,0,0,2010544,PAK,0030,HOC,2010544
2000-10-13,Male,22,1.7,ABDULLAH Rahmat Erwin,Indonesia,Weightlifting,1,0,0,2027380,INA,0011,WLF,2027380
2003-12-15,Male,19,1.8,ABDULLATIF Mustafa,Syrian Arab Republic,Football,0,0,0,2020656,SYR,0037,FBL,2020656
1998-01-09,Male,25,1.88,ABDULLIN Ilfat,Kazakhstan,Archery,0,0,0,2020975,KAZ,0016,ARC,2020975
2001-05-12,Male,22,1.8,ABDULLOEV Ramshed,Tajikistan,Ju-jitsu,0,0,0,2019836,TJK,0039,JJI,2019836
1995-09-04,Female,28,,ABDULMALIK Hajar,Kuwait,Shooting,0,0,0,2011566,KUW,0018,SHO,2011566
1998-03-27,Male,25,,ABDULRAZZAQ Waleed,Kuwait,Swimming,0,0,0,2011576,KUW,0018,SWM,2011576
1989-09-27,Male,34,1.83,ABDULREEDHA Mohamed Ali Merza Ali,Bahrain,Handball,0,1,0,2010512,BRN,0002,HBL,2010512
2002-02-20,Male,21,1.82,ABDULSALLAM Jassem,Qatar,Football,0,0,0,2017770,QAT,0033,FBL,2017770
2000-01-12,Female,23,1.68,ABDUMALIK Zhansaya,Kazakhstan,Chess,0,0,1,2021217,KAZ,0016,CHS,2021217
1995-09-02,Male,28,1.85,ABDUMALIKOV Diyorjon,Uzbekistan,Esports,0,0,0,2012074,UZB,0044,ELS,2012074
2002-08-20,Male,21,1.86,ABDUNABIEV Khamidullo,Uzbekistan,Football,0,0,1,2012990,UZB,0044,FBL,2012990
2002-12-05,Male,20,1.79,ABDURAHMONI Bahromjon,Tajikistan,Ju-jitsu,0,0,0,2019834,TJK,0039,JJI,2019834
1990-03-15,Male,33,1.82,ABDURAKHMONOV Bekzod,Uzbekistan,Wrestling,0,0,1,2012601,UZB,0044,WRE,2012601
1995-09-13,Male,28,1.73,ABDURASHITOV Jamshid,Uzbekistan,Esports,0,0,0,2012086,UZB,0044,ELS,2012086
2001-01-18,Female,22,1.7,ABDURASHITOVA Xeniya,Kazakhstan,3x3 Basketball,0,0,0,2020039,KAZ,0016,BK3,2020039
1997-12-14,Female,25,1.77,ABDUSALOMOVA Munira,Tajikistan,Taekwondo,0,0,0,2019896,TJK,0039,TKW,2019896
2004-09-18,Male,19,1.88,ABDUSATTOROV Nodirbek,Uzbekistan,Chess,0,1,1,2012741,UZB,0044,CHS,2012741
2001-04-17,Female,22,1.73,ABDUSATTOROVA Ziyodakhon,Uzbekistan,Archery,0,0,0,2012892,UZB,0044,ARC,2012892
1999-12-18,Female,23,1.5,ABDYKALYKOVA Ainur,Kazakhstan,Weightlifting,0,0,0,2020319,KAZ,0016,WLF,2020319
2006-08-07,Female,17,1.61,ABDYKERIMOVA Tamiris,Kyrgyzstan,Shooting,0,0,0,2009048,KGZ,0019,SHO,2009048
2001-06-04,Female,22,1.78,ABDYL-KHAMITOVA Kamilia,Kyrgyzstan,Fencing,0,0,0,2009384,KGZ,0019,FEN,2009384
1997-03-11,Male,26,1.78,ABDYRAIMOV Altynbek,Kyrgyzstan,Esports,0,0,0,2009921,KGZ,0019,ELS,2009921
2003-04-29,Male,20,1.77,ABDYVALIEV Bektur,Kyrgyzstan,Football,0,0,0,2009636,KGZ,0019,FBL,2009636
1998-03-03,Male,25,1.74,ABE Tetsuro,Japan,Kabaddi,0,0,0,2014177,JPN,0014,KAB,2014177
1998-08-19,Male,25,1.83,ABED Faisal Hazem M,Saudi Arabia,Fencing,0,0,0,2007839,KSA,0034,FEN,2007839
2008-09-17,Female,15,1.68,ABELDI Islamiya,Kazakhstan,Golf,0,0,0,2021228,KAZ,0016,GLF,2021228
2001-10-16,Female,21,,ABEUOVA Tolganay,Kazakhstan,Kurash,0,0,0,2020203,KAZ,0016,KUR,2020203
1996-03-19,Male,27,1.8,ABEYSINGHE Matthew Duncan,Sri Lanka,Swimming,0,0,0,2018379,SRI,0036,SWM,2018379
1999-12-06,Male,23,1.76,ABHINAYA Fahreza Rakha,Indonesia,Volleyball,0,0,0,2027294,INA,0011,VVO,2027294
1999-08-15,Male,24,1.76,Abhishek,India,Hockey,1,0,0,2016418,IND,0010,HOC,2016418
2001-03-30,Male,22,1.68,ABILOV Ernaz,Kyrgyzstan,Football,0,0,0,2009645,KGZ,0019,FBL,2009645
1999-04-25,Male,24,,ABIMANYU Syahrian,Indonesia,Football,0,0,0,2027448,INA,0011,FBL,2027448
2001-10-31,Male,21,1.75,ABISHEV Chingiz,Kazakhstan,Esports,0,0,0,2020510,KAZ,0016,ELS,2020510
1997-12-16,Female,25,1.64,ABISHEVA Diana,Kazakhstan,Rugby Sevens,0,0,0,2019942,KAZ,0016,RUG,2019942
1995-04-27,Female,28,1.72,ABLYAKIMOVA Ilvina,Uzbekistan,Football,0,0,0,2012950,UZB,0044,FBL,2012950
2001-06-08,Female,22,1.72,ABO-ALRUB Rama,Jordan,Taekwondo,0,0,0,2001120,JOR,0015,TKW,2001120
1994-06-11,Male,29,1.96,ABOJALAS Nassir Abdulmatloob M,Saudi Arabia,Basketball,0,0,0,2005328,KSA,0034,BKB,2005328
1986-12-08,Male,36,,ABOSAKHER Aqeal,Kuwait,Ju-jitsu,0,0,0,2006791,KUW,0018,JJI,2006791
1983-10-12,Male,39,1.86,ABOUTEAMA Mohamed,Qatar,Shooting,0,0,0,2008563,QAT,0033,SHO,2008563
1988-03-27,Female,35,1.85,ABRAHAM Minimol,India,Volleyball,0,0,0,2030434,IND,0010,VVO,2030434
2000-01-21,Male,23,2.18,ABRORIDINOV Muhammad,Tajikistan,Boxing,0,0,0,2019776,TJK,0039,BOX,2019776
1995-12-26,Male,27,1.8,ABSATAROV Kutmanbek,Kyrgyzstan,Volleyball,0,0,0,2010864,KGZ,0019,VVO,2010864
1995-07-05,Male,28,1.8,ABU AL SOUD Ahmad,Jordan,Artistic Gymnastics,0,0,0,2002455,JOR,0015,GAR,2002455
2002-08-11,Male,21,1.69,ABU ALSHAMAT Mohammed Waheeb S,Saudi Arabia,Football,0,0,0,2004231,KSA,0034,FBL,2004231
2002-08-11,Male,21,1.69,ABU ALSHAMAT Saleh Waheeb S,Saudi Arabia,Football,0,0,0,2004253,KSA,0034,FBL,2004253
2004-09-13,Male,19,1.7,ABU BAKR Azzam Ibrahim H,Saudi Arabia,Athletics,0,0,0,2004830,KSA,0034,ATH,2004830
1998-05-02,Male,25,1.77,ABU JAJEH Mohammad,Jordan,Boxing,0,0,0,2005710,JOR,0015,BOX,2005710
1991-09-28,Female,32,1.58,ABU RABEE Asma,Jordan,Shooting,0,0,0,2000882,JOR,0015,SHO,2000882
2002-03-07,Male,21,1.77,ABUALWAH Jehad Hussain A,Saudi Arabia,Handball,0,0,0,2005252,KSA,0034,HBL,2005252
1997-06-16,Male,26,2.03,ABUDUAINI Tuergong,People's Republic of China,Athletics,0,0,1,2019325,CHN,0007,ATH,2019325
1992-08-18,Male,31,2.02,ABUDUHALIKEJIANG Mutailipu,People's Republic of China,Beach Volleyball,0,1,0,2006600,CHN,0007,VBV,2006600
1998-02-04,Male,25,1.86,ABUERGEEB Nasser,Kuwait,Sport Climbing,0,0,0,2017990,KUW,0018,CLB,2017990
2006-03-22,Male,17,1.83,ABUGHARBIA Mahmoud,Palestine,Swimming,0,0,0,2004842,PLE,0031,SWM,2004842
2004-12-14,Male,18,1.74,ABUHAMDA Salman Mohamed A.,Bahrain,Table Tennis,0,0,0,2019771,BRN,0002,TTE,2019771
2002-10-18,Male,20,1.84,ABUIMEIR Ibrahim,Palestine,Football,0,0,0,2004970,PLE,0031,FBL,2004970
1999-01-25,Male,24,1.7,ABUISSA Faisal,Qatar,Basketball,0,0,0,2017697,QAT,0033,BKB,2017697
2001-04-26,Male,22,1.8,ABULAHAN Halike,People's Republic of China,Football,0,0,0,2021842,CHN,0007,FBL,2021842
1991-01-01,Male,32,2,ABUNABOT Belal,Qatar,Volleyball,0,0,0,2008509,QAT,0033,VVO,2008509
1900-01-01,Male,,,ABUQUTHAILAH Turki,Kuwait,Boxing,0,0,0,2011385,KUW,0018,BOX,2011385
2004-06-14,Male,19,1.68,ABUSAL Wasim,Palestine,Boxing,0,0,0,2008108,PLE,0031,BOX,2008108
1997-09-08,Male,26,1.74,ABUSHABAB Abdallah,Palestine,Triathlon,0,0,0,2001353,PLE,0031,TRI,2001353
1999-08-05,Male,24,1.8,ABUSHABAB Omar,Palestine,Triathlon,0,0,0,2001352,PLE,0031,TRI,2001352
2005-07-22,Female,18,1.64,ABUSHAMALEH Marina,Palestine,Swimming,0,0,0,2004844,PLE,0031,SWM,2004844
1983-08-31,Male,40,1.76,ABUSHARIB Saeed,Qatar,Shooting,0,0,0,2005201,QAT,0033,SHO,2005201
1997-06-17,Female,26,1.76,ABUTALEB Dunya Ali M,Saudi Arabia,Taekwondo,0,0,0,2008595,KSA,0034,TKW,2008595
1995-05-31,Male,28,1.7,ABUWARDA Mahmoud,Palestine,Football,0,0,0,2007763,PLE,0031,FBL,2007763
1997-07-04,Female,26,1.58,ABUZHAKYNOVA Abiba,Kazakhstan,Judo,0,1,0,2020758,KAZ,0016,JUD,2020758
2002-02-03,Male,21,1.69,ABYKEEV Argen,Kyrgyzstan,Esports,0,0,0,2009926,KGZ,0019,ELS,2009926
2004-12-13,Female,18,1.7,ABYLLAEVA Shakhlo,Uzbekistan,Handball,0,0,0,2012674,UZB,0044,HBL,2012674
2008-01-28,Female,15,1.7,ABZALOVA Samira,Uzbekistan,Modern Pentathlon,0,0,0,2013097,UZB,0044,MPN,2013097
1982-07-12,Male,41,1.84,ACHANTA Sharath Kamal,India,Table Tennis,0,0,0,2003756,IND,0010,TTE,2003756
1996-07-13,Female,27,1.63,ACHARYA Goma,Nepal,Fencing,0,0,0,2003745,NEP,0027,FEN,2003745
1996-11-16,Male,26,1.76,ACHARYA Jivan,Nepal,Badminton,0,0,0,2010985,NEP,0027,BDM,2010985
2000-06-28,Male,23,1.77,ACHARYA Pukar,Nepal,Esports,0,0,0,2027804,NEP,0027,ELS,2027804
2006-05-26,Male,17,,ACHARYA Sadbhav,Nepal,Golf,0,0,0,2027831,NEP,0027,GLF,2027831
1993-07-01,Male,30,1.72,ACHILOV Arslanbek,Turkmenistan,Boxing,0,0,0,2025870,TKM,0042,BOX,2025870
2004-04-17,Male,19,1.82,ACHYLDYYEV Mamedaly,Turkmenistan,Judo,0,0,0,2025923,TKM,0042,JUD,2025923
1993-01-12,Female,30,1.58,ACLOPEN Helen,Philippines,Kurash,0,0,0,2025533,PHI,0032,KUR,2025533
1997-06-10,Female,26,1.58,ACUÑA Amparo Teresa,Philippines,Shooting,0,0,0,2024429,PHI,0032,SHO,2024429
1995-06-24,Male,28,1.72,ADACHI Seiya,Japan,Water Polo,1,0,0,2014779,JPN,0014,WPO,2014779
2001-03-31,Male,22,1.7,ADAM Mohamed Zain,Maldives,Esports,0,0,0,2028728,MDV,0024,ELS,2028728
2006-01-16,Female,17,1.64,ADAMENKO Viktoriya,Kazakhstan,Sport Climbing,0,0,0,2020789,KAZ,0016,CLB,2020789
2001-11-27,Male,21,1.87,Adarsh Singh,India,Shooting,0,0,1,2001613,IND,0010,SHO,2001613
2001-10-29,Female,21,1.63,ADASHBAEVA Rigina,Uzbekistan,Weightlifting,0,0,0,2012466,UZB,0044,WLF,2012466
2003-08-31,Female,20,1.66,ADASHEVA Ravzakhon,Uzbekistan,Kurash,0,0,0,2012625,UZB,0044,KUR,2012625
2002-02-21,Female,21,1.52,ADASKHAN Aruzhan,Kazakhstan,Kurash,0,0,0,2020211,KAZ,0016,KUR,2020211
1993-01-16,Female,30,1.65,ADEKOYA Oluwakemi Mujidat,Bahrain,Athletics,4,0,0,2004640,BRN,0002,ATH,2004640
1992-09-17,Female,31,1.64,ADHIKARI Anita,Nepal,Fencing,0,0,0,2003751,NEP,0027,FEN,2003751
1996-12-30,Male,26,1.7,ADHIKARI Deepak,Nepal,Athletics,0,0,0,2005576,NEP,0027,ATH,2005576
1997-04-25,Male,26,1.72,ADHIKARI Yadu,Nepal,Rugby Sevens,0,0,0,2027720,NEP,0027,RUG,2027720
1993-12-08,Male,29,1.83,ADIL Ghufran,Pakistan,Shooting,0,0,0,2000876,PAK,0030,SHO,2000876
1999-03-03,Male,24,1.66,ADILBISH Ichinnorov,Mongolia,Weightlifting,0,0,0,2008146,MGL,0025,WLF,2008146
2000-07-06,Male,23,1.95,ADILIJIANG Sulitan,People's Republic of China,Rowing,1,0,0,2010037,CHN,0007,ROW,2010037
2004-12-24,Female,18,1.61,ADISAISIRIBUTR Jinnipha,Thailand,Artistic Swimming,0,0,0,2021911,THA,0040,SWA,2021911
2006-08-18,Male,17,1.8,ADISAISIRIBUTR Kantinan,Thailand,Artistic Swimming,0,0,0,2021913,THA,0040,SWA,2021913
2001-07-07,Male,22,1.8,ADISATRYO Muhammad,Indonesia,Football,0,0,0,2026711,INA,0011,FBL,2026711
1995-12-29,Male,27,1.76,ADMASU Dawit Fikadu,Bahrain,Athletics,0,0,1,2004454,BRN,0002,ATH,2004454
2005-06-23,Male,18,1.8,ADOUM Khalid,Qatar,Athletics,0,0,0,2005686,QAT,0033,ATH,2005686
1997-01-27,Male,26,1.7,ADVIC Faris,Qatar,Basketball,0,0,0,2017703,QAT,0033,BKB,2017703
1991-02-14,Male,32,1.85,ADYLBEK UULU Erkin,Kyrgyzstan,Boxing,0,0,0,2008842,KGZ,0019,BOX,2008842
2001-12-20,Male,21,1.85,AENDU Pheeraphat,Thailand,Rowing,0,0,0,2022596,THA,0040,ROW,2022596
1999-09-09,Male,24,1.82,AFANASYEV Alexandr,Kazakhstan,Rowing,0,0,0,2020496,KAZ,0016,ROW,2020496
2001-11-12,Male,21,1.81,AFGHARI Mehrshad,Islamic Republic of Iran,Swimming,0,0,0,2002510,IRI,0012,SWM,2002510
1999-04-10,Male,24,1.65,AFRAZ,Pakistan,Hockey,0,0,0,2010539,PAK,0030,HOC,2010539
1998-01-01,Male,25,1.76,AFZAL Muhammad,Pakistan,Athletics,0,0,0,2019763,PAK,0030,ATH,2019763
1996-04-19,Female,27,1.74,AFZALI Hiva,Islamic Republic of Iran,Canoe Sprint,0,0,0,2000657,IRI,0012,CSP,2000657
2000-01-09,Male,23,1.88,AGAFONOV Evgeniy,Uzbekistan,Rowing,0,0,0,2012511,UZB,0044,ROW,2012511
1998-11-26,Male,24,1.9,AGAMAMMEDOV Amanberdi,Turkmenistan,Wrestling,0,0,0,2025829,TKM,0042,WRE,2025829
1999-02-05,Male,24,1.75,AGAMAMMEDOV Hekim,Turkmenistan,Judo,0,0,0,2025922,TKM,0042,JUD,2025922
1999-10-24,Female,23,1.57,AGAMBAYEVA Margarita,Kazakhstan,Sport Climbing,0,0,0,2020788,KAZ,0016,CLB,2020788
1993-07-06,Male,30,1.83,AGARIE Yuto,Japan,Handball,0,0,0,2013998,JPN,0014,HBL,2013998
2006-08-17,Female,17,1.65,AGARWAL Vritti,India,Swimming,0,0,0,2030385,IND,0010,SWM,2030385
1999-11-23,Male,23,,AGARWALLA Anush,India,Equestrian,1,0,1,2005751,IND,0010,EQU,2005751
2003-08-07,Female,20,1.76,AGASARA Nandini,India,Athletics,0,0,1,2003472,IND,0010,ATH,2003472
1999-07-18,Female,24,1.58,AGASHE Shushikala,India,Cycling Track,0,0,0,2030094,IND,0010,CTR,2030094
1994-12-18,Female,28,1.72,AGATSUMA Haruka,Japan,Softball,1,0,0,2014415,JPN,0014,SBL,2014415
1999-08-22,Female,24,1.67,AGAYEVA Albina,Kazakhstan,Golf,0,0,0,2021227,KAZ,0016,GLF,2021227
1983-09-30,Male,40,1.91,AGEBA Yuya,Japan,Beach Volleyball,0,0,0,2014635,JPN,0014,VBV,2014635
1947-08-24,Female,76,1.63,AGHA Rubina,Pakistan,Bridge,0,0,0,2012622,PAK,0030,BDG,2012622
1994-05-12,Female,29,1.75,AGHAEI Donya,Islamic Republic of Iran,Kurash,0,1,0,2002708,IRI,0012,KUR,2002708
1998-08-28,Male,25,1.8,AGHAJANIGHASAB Alireza,Islamic Republic of Iran,Beach Volleyball,0,0,0,2000126,IRI,0012,VBV,2000126
2001-03-14,Male,22,2,AGHAJANPOUR Matin,Islamic Republic of Iran,Basketball,0,0,0,2000343,IRI,0012,BKB,2000343
1993-03-04,Male,30,1.73,AGHAMIRZAEIJENAGHARD Ali,Islamic Republic of Iran,Canoe Sprint,0,0,0,2003976,IRI,0012,CSP,2003976
2001-02-22,Male,22,1.75,AGHBAR Saif,Palestine,Esports,0,0,0,2002616,PLE,0031,ELS,2002616
2002-09-28,Female,21,1.59,AGRAWAL Vantika,India,Chess,0,1,0,2003280,IND,0010,CHS,2003280
1987-01-25,Male,36,2.06,AGUILAR Japeth,Philippines,Basketball,1,0,0,2023391,PHI,0032,BKB,2023391
2003-03-21,Male,20,1.7,AHADI Hasibullah,Afghanistan,Football,0,0,0,2027925,AFG,0001,FBL,2027925
1994-12-11,Male,28,1.8,AHAMAD Shahbaz,India,Cricket,1,0,0,2030710,IND,0010,CKT,2030710
1994-01-20,Male,29,1.75,AHAMED Md Razib,Bangladesh,Kabaddi,0,0,0,2007921,BAN,0003,KAB,2007921
2004-06-05,Male,19,1.77,AHAMMAD Shahin,Bangladesh,Football,0,0,0,2009370,BAN,0003,FBL,2009370
2004-04-21,Male,19,1.78,AHMAD Abdulazaiz,United Arab Emirates,Basketball,0,0,0,2006259,UAE,0043,BKB,2006259
2004-01-12,Male,19,1.86,AHMAD Al Mekdad,Syrian Arab Republic,Football,0,0,0,2020636,SYR,0037,FBL,2020636
2002-05-12,Male,21,1.85,AHMAD Arbaz,Pakistan,Hockey,0,0,0,2010542,PAK,0030,HOC,2010542
1992-04-07,Male,31,,AHMAD Khalid Khalifa Abdulla Kh,United Arab Emirates,Basketball,0,0,0,2006269,UAE,0043,BKB,2006269
1997-10-13,Male,25,1.65,AHMAD KOHANI Mahdi,Islamic Republic of Iran,Artistic Gymnastics,0,0,0,2000211,IRI,0012,GAR,2000211
2006-02-20,Male,17,1.81,AHMAD Usman,Pakistan,Kabaddi,0,0,1,2003849,PAK,0030,KAB,2003849
1992-05-10,Male,31,1.76,AHMAD Zaheer,Pakistan,Sport Climbing,0,0,0,2007223,PAK,0030,CLB,2007223
1982-05-31,Female,41,1.6,AHMADI Elaheh,Islamic Republic of Iran,Shooting,0,0,0,2000373,IRI,0012,SHO,2000373
2002-06-26,Female,21,1.67,AHMADI Taraneh,Islamic Republic of Iran,Roller Skating,0,1,0,2000259,IRI,0012,ROL,2000259
1996-03-10,Male,27,1.71,AHMADI Younes,Afghanistan,Karate,0,0,0,2027875,AFG,0001,KTE,2027875
1994-01-12,Male,29,1.77,AHMED Akhlaq,Pakistan,Kabaddi,0,0,1,2007371,PAK,0030,KAB,2007371
1998-08-26,Male,25,1.84,AHMED Al-Meghessib,Qatar,Esports,0,0,0,2011001,QAT,0033,ELS,2011001
2005-04-09,Female,18,,AHMED Awtif Imoleayo Abdallah,Bahrain,Athletics,0,0,0,2030947,BRN,0002,ATH,2030947
2003-06-12,Female,20,1.72,AHMED Fasuhaa,Maldives,Athletics,0,0,0,2029252,MDV,0024,ATH,2029252
2003-04-18,Female,20,1.58,AHMED Hamna,Maldives,Swimming,0,0,0,2006010,MDV,0024,SWM,2006010
2002-12-14,Male,20,1.7,AHMED Jayed,Bangladesh,Football,0,0,0,2021696,BAN,0003,FBL,2021696
2005-09-15,Male,18,1.63,AHMED KHALID Akhyaar,Maldives,Table Tennis,0,0,0,2005548,MDV,0024,TTE,2005548
2001-05-02,Male,22,1.8,AHMED Khalil Ebrahim Abdulla,Bahrain,Football,0,0,0,2004761,BRN,0002,FBL,2004761
1993-07-20,Male,30,1.85,AHMED Mohamed Habib Hasan,Bahrain,Handball,0,1,0,2002799,BRN,0002,HBL,2002799
1999-02-18,Male,24,1.79,AHMED Mohammed,Palestine,Football,0,0,0,2009939,PLE,0031,FBL,2009939
